device_id,location,volume_l,sensor_id,heater_profile,measurement_step,temp_c,humidity_pct,pressure_hpa,gas_resistance_ohm,gas_valid,heat_stable,timestamp
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,1,32.56,16.18,93975.02,30274,1,1,4417953
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,2,30.06,18.47,93941.74,190973,1,1,4425324
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,2,30.56,18.16,93963.27,112700,1,1,4425326
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,2,31.23,17.20,93960.71,109238,1,1,4425338
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,2,31.33,17.02,93987.02,104682,1,1,4425349
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,2,32.68,16.13,93960.63,34820,1,1,4425361
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,2,32.14,16.92,93980.52,39788,1,1,4425382
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,2,32.65,16.14,93987.05,43126,1,1,4425404
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,2,32.61,15.94,93974.91,48530,1,1,4425415
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,3,30.12,18.18,93940.78,314786,1,1,4432787
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,3,30.68,17.91,93965.32,315659,1,1,4432789
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,3,31.44,16.77,93961.80,137819,1,1,4432811
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,3,31.58,16.66,93988.48,240488,1,1,4432833
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,3,32.74,15.97,93962.94,44429,1,1,4432854
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,3,32.19,16.72,93981.70,48174,1,1,4432875
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,3,32.73,15.95,93989.95,56725,1,1,4432896
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,3,32.67,15.75,93974.11,59081,1,1,4432917
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,4,30.07,18.35,93943.01,190973,1,1,4440279
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,4,30.62,18.04,93965.30,112403,1,1,4440301
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,4,31.32,16.93,93961.65,110226,1,1,4440313
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,4,31.44,16.79,93987.91,104875,1,1,4440334
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,4,32.92,15.75,93970.45,68854,1,1,4440356
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,4,32.27,16.66,93981.88,94692,1,1,4440378
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,4,32.91,15.72,93988.50,116310,1,1,4440400
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,4,32.77,15.65,93975.36,126764,1,1,4440421
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,5,30.12,18.15,93941.46,135092,1,1,4447782
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,5,30.70,17.83,93965.34,102236,1,1,4447784
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,5,31.45,16.67,93963.39,52149,1,1,4447796
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,5,31.61,16.55,93989.48,62271,1,1,4447807
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,5,33.00,15.55,93967.26,77764,1,1,4447819
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,5,32.35,16.52,93982.77,105458,1,1,4447840
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,5,33.02,15.51,93991.65,110440,1,1,4447862
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,5,32.88,15.51,93975.77,140312,1,1,4447873
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,6,30.13,18.15,93942.50,104746,1,1,4455297
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,6,30.70,17.84,93965.34,73924,1,1,4455298
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,6,31.43,16.67,93961.72,41531,1,1,4455310
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,6,31.57,16.53,93987.52,45086,1,1,4455331
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,6,33.04,15.46,93962.25,68909,1,1,4455353
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,6,32.40,16.43,93983.42,76715,1,1,4455374
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,6,32.73,16.45,93988.27,78551,1,1,4455396
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,6,32.85,15.42,93976.27,81867,1,1,4455417
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,7,30.12,18.17,93943.10,94534,1,1,4462779
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,7,30.71,17.86,93965.83,64679,1,1,4462801
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,7,31.41,16.68,93963.86,38600,1,1,4462813
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,7,31.57,16.56,93989.21,40163,1,1,4462834
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,7,33.03,15.52,93964.87,59369,1,1,4462856
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,7,32.38,16.48,93984.64,67922,1,1,4462879
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,7,33.00,15.77,93988.35,71869,1,1,4462900
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,7,32.87,15.49,93976.73,67015,1,1,4462922
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,8,30.14,18.18,93942.65,175522,1,1,4470283
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,8,30.70,17.86,93965.27,105785,1,1,4470285
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,8,31.42,16.65,93962.92,106113,1,1,4470297
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,8,31.57,16.55,93989.28,100490,1,1,4470308
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,8,32.97,15.62,93962.25,88581,1,1,4470320
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,8,32.29,16.60,93983.18,143982,1,1,4470341
